Second Article,First Article,Cited
10.1103/PhysRevE.88.032122,10.1103/PhysRevE.86.041112,1
10.1103/PhysRevB.90.245137,10.1103/PhysRevB.90.085130,1
10.1103/PhysRevB.90.245137,10.1103/PhysRevB.89.045129,1
10.1103/PhysRevD.92.033012,10.1103/PhysRevD.81.073001,1
10.1103/PhysRevB.94.125201,10.1103/PhysRevB.84.165204,1
10.1103/PhysRevA.47.4768,10.1103/PhysRevA.46.3840,1
10.1103/PhysRevA.82.032505,10.1103/PhysRevA.81.012504,1
10.1103/PhysRevD.91.094010,10.1103/PhysRevD.81.114003,0
10.1103/PhysRevA.59.2385,10.1103/PhysRevA.58.4133,1
10.1103/PhysRevD.63.096009,10.1103/PhysRevD.63.045026,0
10.1103/PhysRevD.93.114030,10.1103/PhysRevD.91.094010,1
